assessment_name,url,remote_support,adaptive_support,duration,test_type,description
Verify Verbal Reasoning (Global Norms),https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning-global-norms/,Yes,Yes,17,Cognitive,Verbal reasoning with Global-normed scoring tables.
Verify Numerical Reasoning (APAC Norms),https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning-apac-norms/,Yes,Yes,17,Cognitive,Numerical reasoning with APAC-normed scoring tables.
Verify Verbal Reasoning (APAC Norms),https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning-apac-norms/,Yes,Yes,17,Cognitive,Verbal reasoning with APAC-normed scoring tables.
Verify Numerical Reasoning (EMEA Norms),https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning-emea-norms/,Yes,Yes,17,Cognitive,Numerical reasoning with EMEA-normed scoring tables.
Verify Verbal Reasoning (EMEA Norms),https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning-emea-norms/,Yes,Yes,17,Cognitive,Verbal reasoning with EMEA-normed scoring tables.
OPQ32r,https://www.shl.com/solutions/products/assessments/opq32r/,Yes,No,25,Personality,Occupational Personality Questionnaire measuring 32 personality characteristics relevant to work performance.
OPQ Universal Competency Report,https://www.shl.com/solutions/products/assessments/opq-universal-competency-report/,Yes,No,30,Personality,Generates competency-based narrative reports from OPQ32r data.
Motivation Questionnaire (MQ),https://www.shl.com/solutions/products/assessments/motivation-questionnaire-mq/,Yes,No,20,Personality,Assesses motivational drivers at work across 18 dimensions.
Customer Contact Styles Questionnaire (CCSQ),https://www.shl.com/solutions/products/assessments/customer-contact-styles-questionnaire-ccsq/,Yes,No,20,Personality,Personality assessment tailored for customer-facing roles.
Dependability & Safety Instrument (DSI),https://www.shl.com/solutions/products/assessments/dependability-safety-instrument-dsi/,Yes,No,15,Personality,Predicts dependable and safety-conscious workplace behaviour.
Sales Personality Questionnaire,https://www.shl.com/solutions/products/assessments/sales-personality-questionnaire/,Yes,No,20,Personality,Personality assessment for sales effectiveness prediction.
Team Impact Assessment,https://www.shl.com/solutions/products/assessments/team-impact-assessment/,Yes,No,20,Personality,Measures personality factors that influence team dynamics.
Leadership Impact Assessment,https://www.shl.com/solutions/products/assessments/leadership-impact-assessment/,Yes,No,25,Personality,Personality-based prediction of leadership effectiveness.
Risk Assessment Questionnaire,https://www.shl.com/solutions/products/assessments/risk-assessment-questionnaire/,Yes,No,15,Personality,Identifies counterproductive work behaviour indicators.
Emotional Intelligence Questionnaire,https://www.shl.com/solutions/products/assessments/emotional-intelligence-questionnaire/,Yes,No,20,Personality,Self-report measure of trait emotional intelligence at work.
Resilience Questionnaire,https://www.shl.com/solutions/products/assessments/resilience-questionnaire/,Yes,No,12,Personality,"Assesses stress tolerance, adaptability, and recovery capacity."
Innovation Potential Indicator,https://www.shl.com/solutions/products/assessments/innovation-potential-indicator/,Yes,No,15,Personality,Predicts creative thinking and openness to novel approaches.
Cultural Fit Questionnaire,https://www.shl.com/solutions/products/assessments/cultural-fit-questionnaire/,Yes,No,12,Personality,Measures alignment between individual and organisational values.
Integrity Assessment,https://www.shl.com/solutions/products/assessments/integrity-assessment/,Yes,No,15,Personality,Screens for honesty and ethical standards in workplace behaviour.
SOSIE 2nd Generation,https://www.shl.com/solutions/products/assessments/sosie-2nd-generation/,Yes,No,30,Personality,Comprehensive personality and values inventory for recruitment.
Wellbeing Questionnaire,https://www.shl.com/solutions/products/assessments/wellbeing-questionnaire/,Yes,No,10,Personality,Assessment of workplace wellbeing and psychological health indicators.
Work Styles Assessment,https://www.shl.com/solutions/products/assessments/work-styles-assessment/,Yes,No,15,Personality,"Evaluates preferred work patterns, pace, and collaboration styles."
Agile Mindset Indicator,https://www.shl.com/solutions/products/assessments/agile-mindset-indicator/,Yes,No,12,Personality,"Measures adaptability, learning orientation, and change readiness."
Remote Work Readiness Assessment,https://www.shl.com/solutions/products/assessments/remote-work-readiness-assessment/,Yes,No,10,Personality,"Evaluates self-discipline, communication style, and remote work fit."
Graduate Situational Judgement Test,https://www.shl.com/solutions/products/assessments/graduate-situational-judgement-test/,Yes,No,25,Behavioral,Measures workplace judgement for graduate-level candidates.
Management Situational Judgement,https://www.shl.com/solutions/products/assessments/management-situational-judgement/,Yes,No,30,Behavioral,Evaluates managerial decision-making and people-leadership.
Customer Service Situational Judgement,https://www.shl.com/solutions/products/assessments/customer-service-situational-judgement/,Yes,No,20,Behavioral,Tests judgement in customer-facing scenarios.
Leadership Situational Judgement,https://www.shl.com/solutions/products/assessments/leadership-situational-judgement/,Yes,No,30,Behavioral,Scenario-based assessment of strategic leadership decisions.
Teamwork Situational Judgement,https://www.shl.com/solutions/products/assessments/teamwork-situational-judgement/,Yes,No,20,Behavioral,Assesses collaboration and conflict-resolution in team situations.
Safety Situational Judgement,https://www.shl.com/solutions/products/assessments/safety-situational-judgement/,Yes,No,15,Behavioral,Evaluates judgement in workplace-safety critical scenarios.
Supervisory Situational Judgement,https://www.shl.com/solutions/products/assessments/supervisory-situational-judgement/,Yes,No,20,Behavioral,Tests first-line supervisor decision-making skills.
Sales Situational Judgement,https://www.shl.com/solutions/products/assessments/sales-situational-judgement/,Yes,No,20,Behavioral,Evaluates consultative selling and client-management judgement.
Call Center Situational Judgement,https://www.shl.com/solutions/products/assessments/call-center-situational-judgement/,Yes,No,15,Behavioral,Tests call-handling and de-escalation in contact-centre settings.
Entry-Level Situational Judgement,https://www.shl.com/solutions/products/assessments/entry-level-situational-judgement/,Yes,No,15,Behavioral,Scenario-based assessment for school-leaver and apprentice hiring.
Retail Situational Judgement,https://www.shl.com/solutions/products/assessments/retail-situational-judgement/,Yes,No,15,Behavioral,Situational test for retail customer service and operational roles.
Finance Situational Judgement,https://www.shl.com/solutions/products/assessments/finance-situational-judgement/,Yes,No,20,Behavioral,Context-specific SJT for finance and accounting professionals.
IT Help-Desk Situational Judgement,https://www.shl.com/solutions/products/assessments/it-help-desk-situational-judgement/,Yes,No,15,Behavioral,Evaluates prioritisation and communication in IT support scenarios.
Java Programming (Entry Level),https://www.shl.com/solutions/products/assessments/java-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Java programming proficiency covering syntax, data structures, and problem-solving."
Java Programming (Mid Level),https://www.shl.com/solutions/products/assessments/java-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Java programming proficiency covering syntax, data structures, and problem-solving."
Java Programming (Senior Level),https://www.shl.com/solutions/products/assessments/java-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Java programming proficiency covering syntax, data structures, and problem-solving."
Python Programming (Entry Level),https://www.shl.com/solutions/products/assessments/python-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Python programming proficiency covering syntax, data structures, and problem-solving."
Python Programming (Mid Level),https://www.shl.com/solutions/products/assessments/python-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Python programming proficiency covering syntax, data structures, and problem-solving."
Python Programming (Senior Level),https://www.shl.com/solutions/products/assessments/python-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Python programming proficiency covering syntax, data structures, and problem-solving."
C# Programming (Entry Level),https://www.shl.com/solutions/products/assessments/c-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level C# programming proficiency covering syntax, data structures, and problem-solving."
C# Programming (Mid Level),https://www.shl.com/solutions/products/assessments/c-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate C# programming proficiency covering syntax, data structures, and problem-solving."
C# Programming (Senior Level),https://www.shl.com/solutions/products/assessments/c-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced C# programming proficiency covering syntax, data structures, and problem-solving."
C++ Programming (Entry Level),https://www.shl.com/solutions/products/assessments/c-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level C++ programming proficiency covering syntax, data structures, and problem-solving."
C++ Programming (Mid Level),https://www.shl.com/solutions/products/assessments/c-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate C++ programming proficiency covering syntax, data structures, and problem-solving."
C++ Programming (Senior Level),https://www.shl.com/solutions/products/assessments/c-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced C++ programming proficiency covering syntax, data structures, and problem-solving."
JavaScript Programming (Entry Level),https://www.shl.com/solutions/products/assessments/javascript-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level JavaScript programming proficiency covering syntax, data structures, and problem-solving."
JavaScript Programming (Mid Level),https://www.shl.com/solutions/products/assessments/javascript-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate JavaScript programming proficiency covering syntax, data structures, and problem-solving."
JavaScript Programming (Senior Level),https://www.shl.com/solutions/products/assessments/javascript-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced JavaScript programming proficiency covering syntax, data structures, and problem-solving."
TypeScript Programming (Entry Level),https://www.shl.com/solutions/products/assessments/typescript-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level TypeScript programming proficiency covering syntax, data structures, and problem-solving."
TypeScript Programming (Mid Level),https://www.shl.com/solutions/products/assessments/typescript-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate TypeScript programming proficiency covering syntax, data structures, and problem-solving."
TypeScript Programming (Senior Level),https://www.shl.com/solutions/products/assessments/typescript-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced TypeScript programming proficiency covering syntax, data structures, and problem-solving."
Go Programming (Entry Level),https://www.shl.com/solutions/products/assessments/go-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Go programming proficiency covering syntax, data structures, and problem-solving."
Go Programming (Mid Level),https://www.shl.com/solutions/products/assessments/go-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Go programming proficiency covering syntax, data structures, and problem-solving."
Go Programming (Senior Level),https://www.shl.com/solutions/products/assessments/go-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Go programming proficiency covering syntax, data structures, and problem-solving."
Ruby Programming (Entry Level),https://www.shl.com/solutions/products/assessments/ruby-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Ruby programming proficiency covering syntax, data structures, and problem-solving."
Ruby Programming (Mid Level),https://www.shl.com/solutions/products/assessments/ruby-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Ruby programming proficiency covering syntax, data structures, and problem-solving."
Ruby Programming (Senior Level),https://www.shl.com/solutions/products/assessments/ruby-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Ruby programming proficiency covering syntax, data structures, and problem-solving."
PHP Programming (Entry Level),https://www.shl.com/solutions/products/assessments/php-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level PHP programming proficiency covering syntax, data structures, and problem-solving."
PHP Programming (Mid Level),https://www.shl.com/solutions/products/assessments/php-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate PHP programming proficiency covering syntax, data structures, and problem-solving."
PHP Programming (Senior Level),https://www.shl.com/solutions/products/assessments/php-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced PHP programming proficiency covering syntax, data structures, and problem-solving."
Swift Programming (Entry Level),https://www.shl.com/solutions/products/assessments/swift-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Swift programming proficiency covering syntax, data structures, and problem-solving."
Swift Programming (Mid Level),https://www.shl.com/solutions/products/assessments/swift-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Swift programming proficiency covering syntax, data structures, and problem-solving."
Swift Programming (Senior Level),https://www.shl.com/solutions/products/assessments/swift-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Swift programming proficiency covering syntax, data structures, and problem-solving."
Kotlin Programming (Entry Level),https://www.shl.com/solutions/products/assessments/kotlin-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Kotlin programming proficiency covering syntax, data structures, and problem-solving."
Kotlin Programming (Mid Level),https://www.shl.com/solutions/products/assessments/kotlin-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Kotlin programming proficiency covering syntax, data structures, and problem-solving."
Kotlin Programming (Senior Level),https://www.shl.com/solutions/products/assessments/kotlin-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Kotlin programming proficiency covering syntax, data structures, and problem-solving."
Scala Programming (Entry Level),https://www.shl.com/solutions/products/assessments/scala-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Scala programming proficiency covering syntax, data structures, and problem-solving."
Scala Programming (Mid Level),https://www.shl.com/solutions/products/assessments/scala-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Scala programming proficiency covering syntax, data structures, and problem-solving."
Scala Programming (Senior Level),https://www.shl.com/solutions/products/assessments/scala-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Scala programming proficiency covering syntax, data structures, and problem-solving."
Rust Programming (Entry Level),https://www.shl.com/solutions/products/assessments/rust-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Rust programming proficiency covering syntax, data structures, and problem-solving."
Rust Programming (Mid Level),https://www.shl.com/solutions/products/assessments/rust-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Rust programming proficiency covering syntax, data structures, and problem-solving."
Rust Programming (Senior Level),https://www.shl.com/solutions/products/assessments/rust-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Rust programming proficiency covering syntax, data structures, and problem-solving."
R Programming (Entry Level),https://www.shl.com/solutions/products/assessments/r-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level R programming proficiency covering syntax, data structures, and problem-solving."
R Programming (Mid Level),https://www.shl.com/solutions/products/assessments/r-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate R programming proficiency covering syntax, data structures, and problem-solving."
R Programming (Senior Level),https://www.shl.com/solutions/products/assessments/r-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced R programming proficiency covering syntax, data structures, and problem-solving."
MATLAB Programming (Entry Level),https://www.shl.com/solutions/products/assessments/matlab-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level MATLAB programming proficiency covering syntax, data structures, and problem-solving."
MATLAB Programming (Mid Level),https://www.shl.com/solutions/products/assessments/matlab-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate MATLAB programming proficiency covering syntax, data structures, and problem-solving."
MATLAB Programming (Senior Level),https://www.shl.com/solutions/products/assessments/matlab-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced MATLAB programming proficiency covering syntax, data structures, and problem-solving."
Perl Programming (Entry Level),https://www.shl.com/solutions/products/assessments/perl-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Perl programming proficiency covering syntax, data structures, and problem-solving."
Perl Programming (Mid Level),https://www.shl.com/solutions/products/assessments/perl-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Perl programming proficiency covering syntax, data structures, and problem-solving."
Perl Programming (Senior Level),https://www.shl.com/solutions/products/assessments/perl-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Perl programming proficiency covering syntax, data structures, and problem-solving."
Objective-C Programming (Entry Level),https://www.shl.com/solutions/products/assessments/objective-c-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Objective-C programming proficiency covering syntax, data structures, and problem-solving."
Objective-C Programming (Mid Level),https://www.shl.com/solutions/products/assessments/objective-c-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Objective-C programming proficiency covering syntax, data structures, and problem-solving."
Objective-C Programming (Senior Level),https://www.shl.com/solutions/products/assessments/objective-c-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Objective-C programming proficiency covering syntax, data structures, and problem-solving."
Dart Programming (Entry Level),https://www.shl.com/solutions/products/assessments/dart-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Dart programming proficiency covering syntax, data structures, and problem-solving."
Dart Programming (Mid Level),https://www.shl.com/solutions/products/assessments/dart-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Dart programming proficiency covering syntax, data structures, and problem-solving."
Dart Programming (Senior Level),https://www.shl.com/solutions/products/assessments/dart-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Dart programming proficiency covering syntax, data structures, and problem-solving."
Lua Programming (Entry Level),https://www.shl.com/solutions/products/assessments/lua-programming-entry-level/,Yes,No,20,Knowledge & Skills,"Tests entry-level Lua programming proficiency covering syntax, data structures, and problem-solving."
Lua Programming (Mid Level),https://www.shl.com/solutions/products/assessments/lua-programming-mid-level/,Yes,No,40,Knowledge & Skills,"Tests intermediate Lua programming proficiency covering syntax, data structures, and problem-solving."
Lua Programming (Senior Level),https://www.shl.com/solutions/products/assessments/lua-programming-senior-level/,Yes,No,60,Knowledge & Skills,"Tests advanced Lua programming proficiency covering syntax, data structures, and problem-solving."
SQL Proficiency Test,https://www.shl.com/solutions/products/assessments/sql-proficiency-test/,Yes,No,30,Knowledge & Skills,"Assesses query writing, data manipulation, and database design skills in SQL."
PostgreSQL Proficiency Test,https://www.shl.com/solutions/products/assessments/postgresql-proficiency-test/,Yes,No,30,Knowledge & Skills,"Assesses query writing, data manipulation, and database design skills in PostgreSQL."
MySQL Proficiency Test,https://www.shl.com/solutions/products/assessments/mysql-proficiency-test/,Yes,No,30,Knowledge & Skills,"Assesses query writing, data manipulation, and database design skills in MySQL."
MongoDB Proficiency Test,https://www.shl.com/solutions/products/assessments/mongodb-proficiency-test/,Yes,No,30,Knowledge & Skills,"Assesses query writing, data manipulation, and database design skills in MongoDB."
Oracle SQL Proficiency Test,https://www.shl.com/solutions/products/assessments/oracle-sql-proficiency-test/,Yes,No,30,Knowledge & Skills,"Assesses query writing, data manipulation, and database design skills in Oracle SQL."
AWS Solutions Architect Assessment,https://www.shl.com/solutions/products/assessments/aws-solutions-architect-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in AWS Solutions Architect.
AWS Developer Assessment,https://www.shl.com/solutions/products/assessments/aws-developer-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in AWS Developer.
Azure Fundamentals Assessment,https://www.shl.com/solutions/products/assessments/azure-fundamentals-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Azure Fundamentals.
Azure Administrator Assessment,https://www.shl.com/solutions/products/assessments/azure-administrator-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Azure Administrator.
Google Cloud Platform Assessment,https://www.shl.com/solutions/products/assessments/google-cloud-platform-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Google Cloud Platform.
Docker & Containers Assessment,https://www.shl.com/solutions/products/assessments/docker-containers-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Docker & Containers.
Kubernetes Administration Assessment,https://www.shl.com/solutions/products/assessments/kubernetes-administration-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Kubernetes Administration.
Terraform IaC Assessment,https://www.shl.com/solutions/products/assessments/terraform-iac-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Terraform IaC.
CI/CD Pipeline Design Assessment,https://www.shl.com/solutions/products/assessments/ci-cd-pipeline-design-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in CI/CD Pipeline Design.
Linux System Administration Assessment,https://www.shl.com/solutions/products/assessments/linux-system-administration-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Linux System Administration.
Ansible Automation Assessment,https://www.shl.com/solutions/products/assessments/ansible-automation-assessment/,Yes,No,40,Knowledge & Skills,Validates practical knowledge and skills in Ansible Automation.
Tableau Skills Test,https://www.shl.com/solutions/products/assessments/tableau-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with Tableau for business analytics and reporting.
Power BI Skills Test,https://www.shl.com/solutions/products/assessments/power-bi-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with Power BI for business analytics and reporting.
Excel Advanced Skills Test,https://www.shl.com/solutions/products/assessments/excel-advanced-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with Excel Advanced for business analytics and reporting.
SPSS Statistics Skills Test,https://www.shl.com/solutions/products/assessments/spss-statistics-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with SPSS Statistics for business analytics and reporting.
SAS Analytics Skills Test,https://www.shl.com/solutions/products/assessments/sas-analytics-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with SAS Analytics for business analytics and reporting.
Google Analytics Skills Test,https://www.shl.com/solutions/products/assessments/google-analytics-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with Google Analytics for business analytics and reporting.
Looker Skills Test,https://www.shl.com/solutions/products/assessments/looker-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with Looker for business analytics and reporting.
Alteryx Skills Test,https://www.shl.com/solutions/products/assessments/alteryx-skills-test/,Yes,No,30,Knowledge & Skills,Tests proficiency with Alteryx for business analytics and reporting.
